District,Month,Visitors,Year,Season
Adilabad,January,621850.0,2020,Monsoon
Adilabad,February,29421.0,2020,Monsoon
Adilabad,March,9430.0,2020,Monsoon
Adilabad,June,1909.0,2020,Winter
Adilabad,July,549.0,2020,Winter
Adilabad,August,654.0,2020,Autumn
Adilabad,September,3978.0,2020,Summer
Adilabad,October,15128.0,2020,Autumn
Adilabad,November,27525.0,2020,Autumn
Adilabad,December,61403.0,2020,Monsoon
Bhadradri Kothagudem ,January,269310.0,2020,Summer
Bhadradri Kothagudem ,February,238140.0,2020,Winter
Bhadradri Kothagudem ,March,79871.0,2020,Autumn
Bhadradri Kothagudem ,June,15399.0,2020,Autumn
Bhadradri Kothagudem ,July,15130.0,2020,Winter
Bhadradri Kothagudem ,August,26350.0,2020,Autumn
Bhadradri Kothagudem ,September,30957.0,2020,Autumn
Bhadradri Kothagudem ,October,49203.0,2020,Summer
Bhadradri Kothagudem ,November,76900.0,2020,Autumn
Bhadradri Kothagudem ,December,80842.0,2020,Winter
Hyderabad,January,1157153.0,2020,Monsoon
Hyderabad,February,868641.0,2020,Autumn
Hyderabad,March,321650.0,2020,Summer
Hyderabad,September,21861.0,2020,Monsoon
Hyderabad,October,167510.0,2020,Winter
Hyderabad,November,272276.0,2020,Winter
Hyderabad,December,442895.0,2020,Monsoon
Jagtial ,January,340174.0,2020,Monsoon
Jagtial ,February,186484.0,2020,Winter
Jagtial ,March,347014.0,2020,Winter
Jagtial ,June,14228.0,2020,Autumn
Jagtial ,July,41752.0,2020,Autumn
Jagtial ,August,34496.0,2020,Monsoon
Jagtial ,September,83012.0,2020,Autumn
Jagtial ,October,83004.0,2020,Autumn
Jagtial ,November,154438.0,2020,Summer
Jagtial ,December,155757.0,2020,Monsoon
Jangaon ,January,28150.0,2020,Autumn
Jangaon ,February,26390.0,2020,Summer
Jangaon ,March,21430.0,2020,Monsoon
Jangaon ,July,2600.0,2020,Summer
Jangaon ,August,2750.0,2020,Autumn
Jangaon ,September,2700.0,2020,Monsoon
Jangaon ,October,3050.0,2020,Summer
Jangaon ,November,12070.0,2020,Monsoon
Jangaon ,December,11860.0,2020,Summer
Jayashankar Bhoopalpally,January,50500.0,2020,Summer
Jayashankar Bhoopalpally,February,59000.0,2020,Autumn
Jayashankar Bhoopalpally,March,34200.0,2020,Winter
Jayashankar Bhoopalpally,July,5600.0,2020,Summer
Jayashankar Bhoopalpally,August,7000.0,2020,Winter
Jayashankar Bhoopalpally,September,7600.0,2020,Winter
Jayashankar Bhoopalpally,October,8000.0,2020,Winter
Jayashankar Bhoopalpally,November,15000.0,2020,Autumn
Jayashankar Bhoopalpally,December,15200.0,2020,Autumn
Jogulamba Gadwal ,January,146441.0,2020,Winter
Jogulamba Gadwal ,February,481110.0,2020,Winter
Jogulamba Gadwal ,March,24013.0,2020,Summer
Jogulamba Gadwal ,June,26013.0,2020,Summer
Jogulamba Gadwal ,July,88182.0,2020,Monsoon
Jogulamba Gadwal ,August,106925.0,2020,Winter
Jogulamba Gadwal ,September,131485.0,2020,Winter
Jogulamba Gadwal ,October,116753.0,2020,Monsoon
Jogulamba Gadwal ,November,228325.0,2020,Winter
Jogulamba Gadwal ,December,184380.0,2020,Monsoon
Kamareddy ,January,45.0,2020,Summer
Kamareddy ,February,42.0,2020,Summer
Kamareddy ,March,30.0,2020,Monsoon
Kamareddy ,July,38.0,2020,Summer
Kamareddy ,August,42.0,2020,Winter
Kamareddy ,September,55.0,2020,Autumn
Kamareddy ,October,39.0,2020,Winter
Kamareddy ,November,46.0,2020,Autumn
Kamareddy ,December,48.0,2020,Winter
Karimnagar ,January,12057.0,2020,Winter
Karimnagar ,February,8359.0,2020,Autumn
Karimnagar ,March,6100.0,2020,Monsoon
Karimnagar ,June,540.0,2020,Monsoon
Karimnagar ,July,850.0,2020,Winter
Karimnagar ,August,2500.0,2020,Summer
Karimnagar ,September,2250.0,2020,Monsoon
Karimnagar ,October,3258.0,2020,Monsoon
Karimnagar ,November,4100.0,2020,Autumn
Karimnagar ,December,4200.0,2020,Autumn
Khammam,January,114752.0,2020,Summer
Khammam,February,114417.0,2020,Monsoon
Khammam,March,57137.0,2020,Autumn
Khammam,June,12806.0,2020,Winter
Khammam,July,9104.0,2020,Monsoon
Khammam,August,7942.0,2020,Monsoon
Khammam,September,9078.0,2020,Monsoon
Khammam,October,27858.0,2020,Winter
Khammam,November,40647.0,2020,Winter
Khammam,December,37084.0,2020,Winter
Komaram Bheem Asifabad,January,2463.0,2020,Winter
Komaram Bheem Asifabad,February,1593.0,2020,Summer
Komaram Bheem Asifabad,March,812.0,2020,Summer
Komaram Bheem Asifabad,June,60.0,2020,Autumn
Komaram Bheem Asifabad,July,56.0,2020,Summer
Komaram Bheem Asifabad,August,55.0,2020,Winter
Komaram Bheem Asifabad,September,165.0,2020,Winter
Komaram Bheem Asifabad,October,533.0,2020,Winter
Komaram Bheem Asifabad,November,637.0,2020,Summer
Komaram Bheem Asifabad,December,649.0,2020,Winter
Mahabubabad ,January,12290.0,2020,Winter
Mahabubabad ,February,12180.0,2020,Monsoon
Mahabubabad ,March,8300.0,2020,Monsoon
Mahabubabad ,July,1400.0,2020,Summer
Mahabubabad ,August,1800.0,2020,Autumn
Mahabubabad ,September,1950.0,2020,Monsoon
Mahabubabad ,October,2200.0,2020,Monsoon
Mahabubabad ,November,3450.0,2020,Winter
Mahabubabad ,December,3370.0,2020,Summer
Mahbubnagar,January,122530.0,2020,Autumn
Mahbubnagar,February,552303.0,2020,Winter
Mahbubnagar,March,25577.0,2020,Autumn
Mahbubnagar,June,20956.0,2020,Monsoon
Mahbubnagar,July,60255.0,2020,Autumn
Mahbubnagar,August,73928.0,2020,Summer
Mahbubnagar,September,135984.0,2020,Summer
Mahbubnagar,October,94083.0,2020,Summer
Mahbubnagar,November,98683.0,2020,Summer
Mahbubnagar,December,111514.0,2020,Winter
